year;R0;Rc;B0;Bc
1620;47500;400;32000;6000
1621;20000;5000;20000;5000
1622;26000;2000;21000;8000
1622;17000;2000;13000;2000
1623;28000;1000;22000;4000
1626;26000;1000;11000;3000
1626;10000;800;15000;2200
1628;6000;600;7000;1000
1630;29000;800;10000;500
1631;36000;5000;34000;8000
1631;20000;400;8000;1700
1632;60000;1000;46000;2000
1632;20000;4000;25000;5000
1632;33000;1000;27000;3000
1633;17000;1000;15000;7000
1634;5000;100;6000;1500
1634;35000;2000;25000;6000
1634;30000;8000;4000;1400
1634;15000;1000;12000;4000
1635;34000;3000;16000;5000
1635;7000;400;7000;2400
1635;4000;500;6000;1500
1635;5000;1000;7000;1700
1635;3000;600;4000;1500
1636;22000;7000;30000;10000
1636;10000;1000;12000;2000
1636;5000;500;3000;1000
1637;12000;3000;16000;4000
1638;14000;1600;17000;2000
1638;5000;400;4000;700
1638;5000;500;7000;4000
1639;14000;1500;20000;6000
1639;18000;600;10000;1000
1639;9000;1000;18000;2000
1640;10000;2000;18000;4000
1641;10000;1000;11000;3000
1642;25000;2000;12000;1000
1642;20000;800;18000;3000
1642;25000;5000;30000;10000
1642;7500;400;9000;4000
1642;18000;1500;10000;2000
1642;12000;1000;10000;4000
1643;22000;1000;18000;3000
1643;23000;4000;25000;8000
1644;20000;1500;18000;6000
1644;16000;4000;20000;8000
1644;18000;400;12000;1000
1645;15000;1000;18000;3000
1645;16000;2000;16000;4000
1645;16000;4000;18000;6000
1645;10000;700;11000;1500
1646;17000;1000;12000;4000
1647;20000;2000;10000;1800
1647;4000;2000;16000;8000
1648;18000;5000;14000;4000
1648;12000;1000;11000;3000
1650;11000;1000;23000;3000
1650;11000;1000;9000;2000
1651;28000;1000;16000;3000
1652;12000;4000;6000;2000
1653;15000;1000;25000;2000
1656;22000;1500;25000;2000
1657;2500;200;10000;3000
1658;15000;2000;12000;4000
1659;9000;2000;6000;2000
1664;30000;2000;60000;8666
1665;14000;1000;18000;4000
1667;20000;16000;130000;108000
1673;50000;1000;80000;20000
1674;5000;300;4000;300
1674;50000;6000;70000;8600
1675;22000;3000;14000;4000
1675;6000;500;6400;2000
1675;17000;1100;14000;2500
1676;16000;4000;12000;4000
1677;8000;1000;7000;2000
1677;8000;1300;12000;3000
1677;30000;4400;30000;7000
1678;40000;4000;40000;4000
1683;200000;48000;10000;5000
1683;28000;1000;16000;9000
1683;76000;5000;107000;15000
1684;32000;100;18000;3000
1685;60000;100;42000;2000
1686;50000;500;80000;2000
1687;50000;2000;60000;8000
1688;3000;200;15000;5000
1688;53000;1300;8300;7000
1689;17000;400;40000;10000
1689;20000;100;5000;2000
1689;18000;400;32000;3000
1690;35000;500;23000;1500
1690;50000;9500;5000;4500
1690;18000;2800;12000;2000
1690;50000;3000;38000;6000
1691;20000;2700;25000;4400
1691;4000;700;2000;1500
1691;50000;8000;100000;20000
1692;46000;7000;8300;4000
1692;63000;6600;57000;7000
1693;80000;8000;50000;12000
1693;40000;3000;36000;9000
1694;26000;1300;20000;3500
1694;13000;80;80000;18000
1696;50000;40;60000;4000
1697;50000;2100;100000;30000
1697;30000;10000;12000;7000
1700;40000;8000;9000;2000
1701;8000;1000;6000;800
1701;20000;2800;8000;1200
1701;15000;100;5000;350
1701;22000;200;38000;3600
